sampleID	projectID	Race	Continent
SRR12533919	PRJNA549977	USA	North_America
SRR12533920	PRJNA549977	USA	North_America
SRR12533921	PRJNA549977	USA	North_America
SRR12533922	PRJNA549977	USA	North_America
SRR12533923	PRJNA549977	USA	North_America
SRR12533924	PRJNA549977	USA	North_America
SRR12533925	PRJNA549977	USA	North_America
SRR12533926	PRJNA549977	USA	North_America
SRR12533927	PRJNA549977	USA	North_America
SRR12533928	PRJNA549977	USA	North_America
SRR12533929	PRJNA549977	USA	North_America
SRR12533930	PRJNA549977	USA	North_America
SRR12533931	PRJNA549977	USA	North_America
SRR12533932	PRJNA549977	USA	North_America
SRR12533933	PRJNA549977	USA	North_America
SRR12533934	PRJNA549977	USA	North_America
SRR12533935	PRJNA549977	USA	North_America
SRR12533936	PRJNA549977	USA	North_America
SRR12533937	PRJNA549977	USA	North_America
SRR12533938	PRJNA549977	USA	North_America
SRR12533939	PRJNA549977	USA	North_America
SRR12533940	PRJNA549977	USA	North_America
SRR12533941	PRJNA549977	USA	North_America
SRR12533942	PRJNA549977	USA	North_America
SRR12533943	PRJNA549977	USA	North_America
SRR12533944	PRJNA549977	USA	North_America
SRR12533945	PRJNA549977	USA	North_America
SRR12533946	PRJNA549977	USA	North_America
SRR12533947	PRJNA549977	USA	North_America
SRR12533948	PRJNA549977	USA	North_America
SRR12533949	PRJNA549977	USA	North_America
SRR12533950	PRJNA549977	USA	North_America
SRR12533951	PRJNA549977	USA	North_America
SRR12533952	PRJNA549977	USA	North_America
SRR12533953	PRJNA549977	USA	North_America
SRR12533954	PRJNA549977	USA	North_America
SRR12533955	PRJNA549977	USA	North_America
SRR12533956	PRJNA549977	USA	North_America
SRR12533957	PRJNA549977	USA	North_America
SRR12533958	PRJNA549977	USA	North_America
SRR12533959	PRJNA549977	USA	North_America
SRR12533960	PRJNA549977	USA	North_America
SRR12533961	PRJNA549977	USA	North_America
SRR12533962	PRJNA549977	USA	North_America
SRR12533963	PRJNA549977	USA	North_America
SRR12533964	PRJNA549977	USA	North_America
SRR12533965	PRJNA549977	USA	North_America
SRR12533966	PRJNA549977	USA	North_America
SRR12533967	PRJNA549977	USA	North_America
SRR12533968	PRJNA549977	USA	North_America
SRR12533969	PRJNA549977	USA	North_America
SRR12533970	PRJNA549977	USA	North_America
SRR12533971	PRJNA549977	USA	North_America
SRR12533972	PRJNA549977	USA	North_America
SRR12533973	PRJNA549977	USA	North_America
SRR12533974	PRJNA549977	USA	North_America
SRR12533975	PRJNA549977	USA	North_America
SRR12533976	PRJNA549977	USA	North_America
SRR12533977	PRJNA549977	USA	North_America
SRR12533978	PRJNA549977	USA	North_America
SRR12533979	PRJNA549977	USA	North_America
SRR12533980	PRJNA549977	USA	North_America
SRR12533981	PRJNA549977	USA	North_America
SRR12533982	PRJNA549977	USA	North_America
SRR12533983	PRJNA549977	USA	North_America
SRR12533984	PRJNA549977	USA	North_America
SRR12533985	PRJNA549977	USA	North_America
SRR12533986	PRJNA549977	USA	North_America
SRR12533987	PRJNA549977	USA	North_America
SRR12533988	PRJNA549977	USA	North_America
SRR12533989	PRJNA549977	USA	North_America
SRR12533990	PRJNA549977	USA	North_America
SRR12533991	PRJNA549977	USA	North_America
SRR12533992	PRJNA549977	USA	North_America
SRR12533993	PRJNA549977	USA	North_America
SRR12533994	PRJNA549977	USA	North_America
SRR12533995	PRJNA549977	USA	North_America
SRR12533996	PRJNA549977	USA	North_America
SRR12533997	PRJNA549977	USA	North_America
SRR12533998	PRJNA549977	USA	North_America
SRR12533999	PRJNA549977	USA	North_America
SRR12534000	PRJNA549977	USA	North_America
SRR15285981	PRJNA742936	USA	North_America
SRR15285982	PRJNA742936	USA	North_America
SRR15285983	PRJNA742936	USA	North_America
SRR15285984	PRJNA742936	USA	North_America
SRR15285985	PRJNA742936	USA	North_America
SRR15285986	PRJNA742936	USA	North_America
SRR15285987	PRJNA742936	USA	North_America
SRR15285988	PRJNA742936	USA	North_America
SRR15285989	PRJNA742936	USA	North_America
SRR15285990	PRJNA742936	USA	North_America
SRR15285991	PRJNA742936	USA	North_America
SRR15285992	PRJNA742936	USA	North_America
SRR15285993	PRJNA742936	USA	North_America
SRR15285994	PRJNA742936	USA	North_America
SRR15285995	PRJNA742936	USA	North_America
SRR15285996	PRJNA742936	USA	North_America
SRR15285997	PRJNA742936	USA	North_America
SRR15285998	PRJNA742936	USA	North_America
SRR15285999	PRJNA742936	USA	North_America
SRR15286000	PRJNA742936	USA	North_America
SRR15286001	PRJNA742936	USA	North_America
SRR15286002	PRJNA742936	USA	North_America
SRR15286003	PRJNA742936	USA	North_America
SRR15286004	PRJNA742936	USA	North_America
SRR15286005	PRJNA742936	USA	North_America
SRR15286006	PRJNA742936	USA	North_America
SRR15286007	PRJNA742936	USA	North_America
SRR15286008	PRJNA742936	USA	North_America
SRR15286009	PRJNA742936	USA	North_America
SRR15286010	PRJNA742936	USA	North_America
SRR15286011	PRJNA742936	USA	North_America
SRR15286012	PRJNA742936	USA	North_America
SRR15286013	PRJNA742936	USA	North_America
SRR15286014	PRJNA742936	USA	North_America
SRR15286015	PRJNA742936	USA	North_America
SRR15286016	PRJNA742936	USA	North_America
SRR15286017	PRJNA742936	USA	North_America
SRR15286018	PRJNA742936	USA	North_America
SRR15286019	PRJNA742936	USA	North_America
SRR15286020	PRJNA742936	USA	North_America
SRR15286021	PRJNA742936	USA	North_America
SRR15286022	PRJNA742936	USA	North_America
SRR15286023	PRJNA742936	USA	North_America
SRR15286024	PRJNA742936	USA	North_America
SRR15286025	PRJNA742936	USA	North_America
